uniq_id,product_name,description,product_category
55b85ea15a1536d46b7190ad6fff8ce7,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,key features of elegance polyester multicolor abstract eyelet door curtain floral curtainelegance polyester multicolor abstract eyelet door curtain 213 cm in height pack of 2 price rs 899 this curtain enhances the look of the interiorsthis curtain is made from 100 high quality polyester fabricit features an eyelet style stitch with metal ringit makes the room environment romantic and lovingthis curtain is ant wrinkle and anti shrinkage and have elegant apparancegive your home a bright and modernistic appeal with these designs the surreal attention is sure to steal hearts these contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening you create the most special moments of joyous beauty given by the soothing prints bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlightspecifications of elegance polyester multicolor abstract eyelet door curtain 213 cm in height pack of 2 general brand elegance designed for door type eyelet model name abstract polyester door curtain set of 2 model id duster25 color multicolor dimensions length 213 cm in the box number of contents in sales package pack of 2 sales package 2 curtains body design material polyester,Home Furnishing
7b72c92c2f6c40268628ec5f14c6d590,Sathiyas Cotton Bath Towel,specifications of sathiyas cotton bath towel 3 bath towel red yellow blue bath towel features machine washable yes material cotton design self design general brand sathiyas type bath towel gsm 500 model name sathiyas cotton bath towel ideal for men women boys girls model id asvtwl322 color red yellow blue size mediam dimensions length 30 inch width 60 inch in the box number of contents in sales package 3 sales package 3 bath towel,Baby Care
64d5d4a258243731dc7bbb1eef49ad74,Eurospa Cotton Terry Face Towel Set,key features of eurospa cotton terry face towel set size small height 9 inch gsm 360eurospa cotton terry face towel set 20 piece face towel set assorted price rs 299 eurospa brings to you an exclusively designed 100 soft cotton towels of export quality all our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints absorbency softness and durability note our product is 100 cotton so it is susceptible to shrinkage product color may vary from the picture size may vary by 3 wash care wash in cold water do not iron do not bleach flat dry wash before first use size face towel 23 cms x 23 cmsspecifications of eurospa cotton terry face towel set 20 piece face towel set assorted bath towel features material cotton terry design shuvam general brand eurospa gsm 360 type face towel set model name shuvam20pcftsetassorted ideal for boys girls men women model id shuvam20pcftsetassorted size small color assorted dimensions weight 350 g length 9 inch width 9 inch in the box number of contents in sales package 20 sales package 20 piece face towel set,Baby Care
d4684dcdc759dd9cdf41504698d737d8,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,key features of santosh royal fashion cotton printed king sized double bedsheet royal bedsheet perfact for wedding giftingspecifications of santosh royal fashion cotton printed king sized double bedsheet 1 bedsheet2 pillow cover multicolor general brand santosh royal fashion machine washable yes type flat material cotton model name gold design royal cotton printed wedding gifted double bedsheet with 2 pillow cover model id goldbedi38 color multicolor size king fabric care machine wash do not bleach dimensions flat sheet width 90 inch 230 cm fitted sheet width 228 cm pillow cover width 16 inch 43 cm pillow cover length 28 inch 72 cm fitted sheet depth 280 cm fitted sheet length 278 cm flat sheet depth 282 cm flat sheet length 110 inch 280 cm in the box number of contents in sales package 1 sales package 1 bedsheet2 pillow cover,Home Furnishing
6325b6870c54cd47be6ebfbffa620ec7,Jaipur Print Cotton Floral King sized Double Bedsheet,key features of jaipur print cotton floral king sized double bedsheet 100 cottonjaipur print cotton floral king sized double bedsheet 1 bed sheet 2 pillow cover white price rs 998 this nice bed sheet made up of 100 cotton to give you comfort this bed sheet is hand printed this bedsheet gives nice look to your room and its fast colour and good quality gives this bedsheet long lifespecifications of jaipur print cotton floral king sized double bedsheet 1 bed sheet 2 pillow cover white general machine washable yes brand jaipur print type flat model name jaipur117 material cotton thread count 140 model id jaipur117 fabric care machinewash do not bleach size king color white warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing dimensions flat sheet width 86 inch 220 cm fitted sheet width 0 cm pillow cover width 17 inch 45 cm pillow cover length 29 inch 75 cm weight 900 g fitted sheet depth 0 cm fitted sheet length 0 cm flat sheet depth 02 cm flat sheet length 104 inch 265 cm in the box number of contents in sales package 1 sales package 1 bed sheet 2 pillow cover,Home Furnishing
893aa5ed55f7cff2eccea7758d7a86bd,Maserati Time R8851116001 Analog Watch  - For Boys,maserati time r8851116001 analog watch for boys buy maserati time r8851116001 analog watch for boys r8851116001 online at rs24400 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",camerii wm64 elegance analog watch for men boys buy camerii wm64 elegance analog watch for men boys wm64 online at rs449 in india only at flipkartcom great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
dd0e3470a7e6ed76fd69c2da27721041,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,t star ufttsw005bkbr analog watch for boys price rs 399 whether you are on your way to work or travelling abroad with family lifestyle accessories like watches wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear when it all comes down to it suave leather belts and intricately designed and finished timepieces are what separate you from the rest whether you are on your way to work or travelling abroad with family lifestyle accessories like watches wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear when it all comes down to it suave leather belts and intricately designed and finished timepieces are what separate you from the rest,Watches
41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",alfajr wy16b youth digital watch for men boys buy alfajr wy16b youth digital watch for men boys wy16b online at rs4995 in india only at flipkartcom azan times for all cities around the world prayer reminders qibla direction hijri and gregorian calnedars quran bookmark daily alrams great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",tag heuer cau1116ba0858 formula 1 analog watch for boys men buy tag heuer cau1116ba0858 formula 1 analog watch for boys men cau1116ba0858 online at rs107750 in india only at flipkartcom swissmade quartz movement scratch resistant sapphire crystal glass water resistant to 200 metres feature chronograph great discounts only genuine products 30 day replacement guarantee free shipping cash on delivery,Watches
